neo_reference_id,name,absolute_magnitude_h,min_diameter_m,max_diameter_m,close_approach_date,epoch_date_close_approach,miss_distance_km,relative_velocity_kph,is_potentially_hazardous,is_sentry_object
2494697,494697 (2004 SW55),20.77,186.44681832,416.9077599521,2022-01-07,1641557340000,20026767.65594481,36172.0804304837,True,False
2496860,496860 (1999 XL136),19.67,309.4246986173,691.8946600257,2022-01-07,1641521220000,13396080.931113835,60344.7698097014,True,False
3311963,(2006 AL4),24.92,27.5775052924,61.6651764838,2022-01-07,1641566700000,14239203.68058826,34048.6562512758,False,False
3401388,(2008 CO),22.6,80.2703167283,179.4898847799,2022-01-07,1641542040000,30934770.47273939,16072.4360970133,False,False
3827355,(2018 RH3),26.1,16.0160337979,35.8129403019,2022-01-07,1641535320000,38157426.33629275,58439.287297512,False,True
3976533,(2020 AP1),29.6,3.1956188672,7.1456210173,2022-01-07,1641576720000,1743802.202326686,20346.4589009102,False,False
54191244,(2021 QC3),24.24,37.7185489265,84.3412394123,2022-01-07,1641562980000,60990404.19925779,29242.3727372618,False,False
54235405,(2022 AF),23.55,51.8268694616,115.8884031771,2022-01-07,1641540000000,9291061.627799144,35108.93367962,False,False
54235666,(2022 AR2),27.66,7.8082727749,17.4598287116,2022-01-07,1641566880000,645892.648390259,41770.6434081241,False,False
54236614,(2022 AZ5),22.89,70.2352247696,157.0507369998,2022-01-07,1641546660000,32832631.314192884,6683.0408586423,False,False
54245585,(2022 CV2),22.99,67.0741189325,149.9822894641,2022-01-07,1641565200000,18657814.63165156,31744.1816982311,False,False
54245818,(2022 CO3),25.71,19.1670367967,42.8587972046,2022-01-07,1641565260000,10592070.949726418,15598.9708459466,False,False
54246945,(2022 CN6),23.63,49.9522409906,111.6966064835,2022-01-07,1641579120000,12843440.279545734,35460.8403976306,False,False
54247545,(2016 FH60),23.14,62.597209966,139.9716166857,2022-01-07,1641565140000,18658853.080225952,31744.8360247963,False,False
54278177,(2022 JS),26.02,16.617090174,37.1569432173,2022-01-07,1641516840000,32109410.1804188,11998.7244309963,False,False
54282696,(2022 LW2),25.9,17.561231848,39.2681081809,2022-01-07,1641585600000,42057460.07078695,33357.2875659345,False,False
54425755,(2024 CU1),26.72,12.0380176738,26.917825833,2022-01-07,1641559380000,70312893.34758653,92921.7494633688,False,False
54440311,(2022 AY54),30.26,2.35806068,5.2727839755,2022-01-07,1641572400000,258875.299289315,64203.4809890064,False,False
54462805,(2024 NM3),25.06,25.855621208,57.8149266216,2022-01-07,1641530520000,60872423.43516804,57883.0818662683,False,False
54511081,(2024 YJ7),29.4,3.5039264111,7.8350176433,2022-01-07,1641592980000,7410911.319140062,25727.4921420703,False,False
3313974,(2006 BV39),29.1,4.0230457983,8.9958038817,2022-01-03,1641235560000,73706237.85472842,81860.9953952192,False,False
3366282,(2007 BD),25.4,22.1082810359,49.435619262,2022-01-03,1641246180000,56435592.12176937,69574.3597407704,False,False
3986680,(2020 AL3),26.2,15.2951935344,34.201092472,2022-01-03,1641222720000,50774885.61427455,83624.2504457378,False,False
54106298,(2021 BO),32.95,0.6832111991,1.5277066841,2022-01-03,1641177420000,72545279.63520963,70539.5034420685,False,False
54160408,(2021 LG7),24.09,40.4161533403,90.3732662579,2022-01-03,1641172800000,28397457.15623935,33451.7707746505,False,False
54214719,(2021 UW6),22.31,91.7392059155,205.1351006288,2022-01-03,1641238320000,42212305.95374484,39322.7916823386,False,False
54235431,(2022 AL),27.21,9.606274149,21.4802820076,2022-01-03,1641213900000,2806034.250005535,14791.8524564653,False,False
54235463,(2022 AU),29.13,3.9678475407,8.8723768253,2022-01-03,1641179100000,318517.890647922,26025.2562417962,False,True
54235467,(2022 AY),25.45,21.6050351196,48.3103271838,2022-01-03,1641208380000,7752437.302354836,44034.3406065262,False,False
54235479,(2022 AL1),26.28,14.7419514504,32.9640055641,2022-01-03,1641243000000,6545721.507540233,31793.9147319844,False,False
54235524,(2022 AO1),29.6,3.1956188672,7.1456210173,2022-01-03,1641226740000,347610.263225757,50699.9201593154,False,True
54235674,(2022 AZ2),27.75,7.4912618313,16.750970692,2022-01-03,1641238440000,1966661.216022021,35179.8200639127,False,False
54243723,(2022 BX5),29.04,4.1357566488,9.2478330051,2022-01-03,1641242640000,2289062.278420681,2340.343313525,False,False
54330582,(2022 WQ9),28.73,4.7704019801,10.6669431075,2022-01-03,1641211200000,29490472.3017032,18386.3687206673,False,False
54415896,(2023 XU10),27.66,7.8082727749,17.4598287116,2022-01-03,1641194460000,42189625.98914605,53748.6221034389,False,False
54513040,(2024 YZ12),26.54,13.0784108584,29.2442157171,2022-01-03,1641235320000,10093290.363369515,26011.7278785055,False,False
3555070,(2011 AU4),25.9,17.561231848,39.2681081809,2022-01-04,1641281700000,51253481.30410745,48037.479453581,False,False
3595775,(2012 AB11),22.32,91.3177025518,204.1925904549,2022-01-04,1641305640000,35660467.47905903,63419.2509076765,False,False
3671126,(2014 JJ55),25.3,23.150212221,51.7654482198,2022-01-04,1641325800000,27715673.4356723,24792.1805447869,False,False
3780740,(2017 QW1),26.2,15.2951935344,34.201092472,2022-01-04,1641256140000,20513363.241473828,28854.1426986551,False,False
54235528,(2022 AT1),26.22,15.1549663572,33.8875349715,2022-01-04,1641336780000,2041258.537972622,46146.2136583014,False,True
54279766,(2022 KE),25.5,21.113244479,47.2106498806,2022-01-04,1641295980000,73373311.5948293,19952.1261628286,False,False
54338714,(2023 AW),25.68,19.433676839,43.4550224647,2022-01-04,1641265860000,17897094.024201375,42764.5510284618,False,False
2668499,668499 (2012 AB11),22.32,91.3177025518,204.1925904549,2022-01-04,1641305640000,35660467.47905903,63419.2508286486,False,False
2471108,471108 (2010 CL1),19.38,353.6347842986,790.7514169001,2022-01-05,1641379200000,58787700.043895416,33347.5468858009,False,False
3365921,(2007 AM),21.82,114.9621762891,257.0632410238,2022-01-05,1641349200000,28070119.16965346,40915.8994247244,False,False
3479014,(2009 WM105),23.0,66.7659413495,149.2931834393,2022-01-05,1641396960000,34627430.20370004,35043.1227181288,False,False
3702966,(2014 YT9),20.59,202.5606008648,452.9392730968,2022-01-05,1641386700000,71333394.74031356,116243.1255289547,False,False
3837863,(2019 AU11),24.84,28.6124453783,63.9793728683,2022-01-05,1641360180000,60363685.62954372,55238.7588919164,False,False
54231776,(2021 YQ),23.8,46.1907460282,103.2856480504,2022-01-05,1641401280000,2137321.852766754,52919.0481305448,False,False
54232323,(2021 YX),25.09,25.5008687857,57.0216760901,2022-01-05,1641362520000,3840137.709384024,42898.8833858448,False,False
54235535,(2022 AD2),22.54,82.5191938525,184.5185269026,2022-01-05,1641409620000,15030249.960416349,88481.8236041399,False,False
54235667,(2022 AS2),28.95,4.3107712388,9.6391775254,2022-01-05,1641415680000,1503470.770766618,10015.5320931913,False,False
54239842,(2022 BL1),25.89,17.6422908113,39.4493615328,2022-01-05,1641415500000,5019428.714037469,26156.493505652,False,False
54243529,(2022 AV13),31.82,1.1496217629,2.5706324102,2022-01-05,1641364860000,109480.269041248,27115.3668275945,False,True
